time_s,phase,Te_eV,EN_Td,Ptot,N2,N2(V1),N2(V2),N2(V3),N2(V4),N2(V5),N2(V6),N2(V7),N2(V8),N2(A3),N2(B3),N2(A`1),N2(C3),N,N(2D),N(2P),N^+,N2^+,N3^+,N4^+,H2,H2(B3SIG),H2(B1SIG),H2(C3PI),H2(A3SIG),H2(RYDBERG_SUM),H2(V1),H2(V2),H2(V3),H,H2^+,H3^+,H^+,H^-,NH,NH2,NH3,NH^+,N2H^+,NH2^+,NH3^+,NH4^+,E,SURF,HSURF,NSURF,NHSURF,NH2SURF
  5.00000E-04,2,  2.58352E-02,  0.00000E+00,  0.00000E+00,  2.44539E+18,  5.75224E+14,  1.43802E+11,  3.62743E+07,  9.05489E+03,  2.61179E+00,  1.35987E+00,  2.23962E-04,  1.99490E-07,  8.29359E+09,  3.85903E+01,  9.05616E+00,  2.12044E+02,  2.84770E+12,  5.65050E-02,  1.67025E+06,  1.29373E-01,  1.82997E+00,  2.06584E+05,  1.32332E+07,  2.20127E+19,  1.60789E+14,  6.29996E+13,  5.13855E+13,  3.32941E+13,  1.00722E+13,  5.12577E+12,  4.09685E+06,  1.77137E+00,  1.60986E+15,  1.04417-210,  5.95899E+13,  4.42223E+06,  0.00000E+00,  6.98725E+12,  7.36116E+11,  3.58720E+13,  4.96744E-02,  1.37826E+13,  2.66327E-01,  2.45887E+09,  6.96862E+11,  1.17000E+08,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00
  5.50000E-04,1,  3.49960E+00,  1.40000E+02,  2.54766E-08,  2.44493E+18,  1.02341E+15,  4.66506E+11,  1.81965E+09,  8.10433E+08,  3.08312E+08,  1.46647E+08,  3.36014E+07,  9.70540E+06,  2.83641E+12,  4.30481E+08,  2.79929E+08,  5.12722E+09,  4.96072E+12,  4.73569E+01,  8.05532E+08,  1.86730E+01,  6.67025E+05,  2.36067E+05,  1.79363E+07,  2.20124E+19,  2.07671E+14,  8.13698E+13,  6.63707E+13,  4.30022E+13,  1.19209E+13,  2.31146E+13,  7.81547E+08,  1.52386E+03,  1.92085E+15,  5.42348E+06,  7.15201E+13,  1.40286E+10,  6.77764E+01,  1.04094E+13,  8.03710E+11,  3.99628E+13,  7.16978E+00,  1.65752E+13,  3.84403E+01,  3.45587E+10,  7.94486E+11,  1.17000E+08,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00
  6.00000E-04,2,  2.58352E-02,  0.00000E+00,  0.00000E+00,  2.44539E+18,  5.67900E+14,  1.40160E+11,  3.49021E+07,  8.59668E+03,  2.22362E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  2.13424E+09,  0.00000E+00,  0.00000E+00,  0.00000E+00,  3.29985E+12,  1.94132E-02,  5.05557E+05,  1.49562E-01,  1.81396E+00,  2.32920E+05,  1.31154E+07,  2.20125E+19,  1.61948E+14,  6.34538E+13,  5.17557E+13,  3.35343E+13,  1.10663E+13,  5.00098E+12,  3.89755E+06,  1.64022E+00,  1.92449E+15,  0.00000E+00,  7.15166E+13,  8.67632E+04,  1.38470-209,  6.86239E+12,  8.09978E+11,  4.42703E+13,  5.74262E-02,  1.65076E+13,  3.07887E-01,  7.22660E+08,  8.37927E+11,  1.17000E+08,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00
  6.50000E-04,1,  3.49960E+00,  1.40000E+02,  2.54766E-08,  2.44492E+18,  1.02115E+15,  4.64503E+11,  1.81824E+09,  8.10365E+08,  3.08309E+08,  1.46618E+08,  3.36016E+07,  9.70547E+06,  2.53289E+12,  4.29613E+08,  2.79715E+08,  5.12222E+09,  5.50061E+12,  5.19716E+01,  7.97346E+08,  2.07053E+01,  6.67029E+05,  2.60085E+05,  1.79362E+07,  2.20122E+19,  2.06983E+14,  8.11000E+13,  6.61505E+13,  4.28597E+13,  1.27233E+13,  2.30475E+13,  7.81064E+08,  1.51851E+03,  2.23438E+15,  5.42344E+06,  8.34451E+13,  1.16138E+10,  6.20240E+01,  1.02495E+13,  8.71079E+11,  4.82921E+13,  7.95013E+00,  1.92999E+13,  4.26239E+01,  2.89231E+10,  9.42469E+11,  1.17000E+08,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00
  7.00000E-04,2,  2.58352E-02,  0.00000E+00,  0.00000E+00,  2.44538E+18,  5.65627E+14,  1.39054E+11,  3.44983E+07,  8.46916E+03,  2.21745E+00,  1.29052E-01,  2.06702E-05,  1.88802E-08,  9.32489E+08,  3.64621E+00,  1.22485E-01,  2.86601E+00,  3.81848E+12,  1.21358E-02,  2.67305E+05,  1.72966E-01,  1.81015E+00,  2.56141E+05,  1.30855E+07,  2.20123E+19,  1.59433E+14,  6.24683E+13,  5.09519E+13,  3.30136E+13,  1.16794E+13,  4.96342E+12,  3.84159E+06,  1.60817E+00,  2.23766E+15,  0.00000E+00,  8.34410E+13,  1.64850E+04,  0.00000E+00,  6.75659E+12,  8.55711E+11,  5.25710E+13,  6.64124E-02,  1.92206E+13,  3.56064E-01,  2.59861E+08,  9.77530E+11,  1.17000E+08,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00
  7.50000E-04,1,  3.49960E+00,  1.40000E+02,  2.54766E-08,  2.44492E+18,  1.02042E+15,  4.63863E+11,  1.81777E+09,  8.10317E+08,  3.08306E+08,  1.46597E+08,  3.36017E+07,  9.70552E+06,  2.29105E+12,  4.28992E+08,  2.79561E+08,  5.11864E+09,  6.11579E+12,  5.81132E+01,  8.01939E+08,  2.30211E+01,  6.67033E+05,  2.81421E+05,  1.79361E+07,  2.20121E+19,  2.03279E+14,  7.96488E+13,  6.49668E+13,  4.20928E+13,  1.31487E+13,  2.30260E+13,  7.80910E+08,  1.51680E+03,  2.54659E+15,  5.42341E+06,  9.53679E+13,  9.94453E+09,  5.61054E+01,  1.00936E+13,  9.10511E+11,  5.65282E+13,  8.83931E+00,  2.20125E+13,  4.73909E+01,  2.48747E+10,  1.08793E+12,  1.17000E+08,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00
  8.00000E-04,2,  2.58352E-02,  0.00000E+00,  0.00000E+00,  2.44537E+18,  5.68602E+14,  1.40510E+11,  3.50341E+07,  8.64094E+03,  2.27221E+00,  1.33348E-01,  2.03926E-05,  1.03310E-08,  3.13700E+08,  3.76767E+00,  0.00000E+00,  0.00000E+00,  4.42159E+12,  5.30803E-03,  1.04896E+05,  2.00478E-01,  1.81709E+00,  2.76652E+05,  1.31330E+07,  2.20122E+19,  1.55196E+14,  6.08081E+13,  4.95977E+13,  3.21362E+13,  1.19371E+13,  5.01287E+12,  3.91649E+06,  1.65262E+00,  2.54956E+15,  0.00000E+00,  9.53632E+13,  0.00000E+00,  5.17235-262,  6.71003E+12,  8.78043E+11,  6.07156E+13,  7.69755E-02,  2.19232E+13,  4.12696E-01,  9.47284E+07,  1.11676E+12,  1.17000E+08,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00
  8.50000E-04,1,  3.49960E+00,  1.40000E+02,  2.54766E-08,  2.44491E+18,  1.02133E+15,  4.64672E+11,  1.81830E+09,  8.10282E+08,  3.08305E+08,  1.46581E+08,  3.36019E+07,  9.70557E+06,  2.09018E+12,  4.28522E+08,  2.79445E+08,  5.11592E+09,  6.80577E+12,  6.56534E+01,  8.14201E+08,  2.56185E+01,  6.67036E+05,  3.00395E+05,  1.79360E+07,  2.20119E+19,  1.98101E+14,  7.76199E+13,  6.33118E+13,  4.10206E+13,  1.32278E+13,  2.30528E+13,  7.81104E+08,  1.51896E+03,  2.85766E+15,  5.42338E+06,  1.07288E+14,  8.72050E+09,  5.01904E+01,  9.97396E+12,  9.27098E+11,  6.46314E+13,  9.83661E+00,  2.47148E+13,  5.27377E+01,  2.18359E+10,  1.23186E+12,  1.17000E+08,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00
  9.00000E-04,2,  2.58352E-02,  0.00000E+00,  0.00000E+00,  2.44537E+18,  5.65443E+14,  1.38963E+11,  3.44645E+07,  8.45839E+03,  2.22535E+00,  1.97365E-01,  3.20287E-05,  2.69453E-08,  1.63293E+08,  5.58611E+00,  3.35149E-03,  7.84634E-02,  5.07758E+12,  4.01124E-03,  6.64403E+04,  2.29933E-01,  1.80885E+00,  2.94576E+05,  1.30704E+07,  2.20120E+19,  1.48651E+14,  5.82437E+13,  4.75061E+13,  3.07810E+13,  1.18320E+13,  4.96024E+12,  3.83668E+06,  1.60525E+00,  2.86039E+15,  0.00000E+00,  1.07283E+14,  2.89542E+02,  0.00000E+00,  6.59979E+12,  8.78883E+11,  6.88259E+13,  8.82853E-02,  2.46131E+13,  4.73330E-01,  3.85948E+07,  1.25565E+12,  1.17000E+08,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00
  9.50000E-04,1,  3.49960E+00,  1.40000E+02,  2.54766E-08,  2.44490E+18,  1.02035E+15,  4.63801E+11,  1.81769E+09,  8.10256E+08,  3.08304E+08,  1.46569E+08,  3.36021E+07,  9.70562E+06,  1.92280E+12,  4.28167E+08,  2.79356E+08,  5.11387E+09,  7.56140E+12,  7.45194E+01,  8.32020E+08,  2.84631E+01,  6.67039E+05,  3.17039E+05,  1.79360E+07,  2.20117E+19,  1.91147E+14,  7.48954E+13,  6.10896E+13,  3.95807E+13,  1.29706E+13,  2.30236E+13,  7.80896E+08,  1.51664E+03,  3.16772E+15,  5.42335E+06,  1.19207E+14,  7.78012E+09,  4.43108E+01,  9.81294E+12,  9.23630E+11,  7.26731E+13,  1.09288E+01,  2.74044E+13,  5.85931E+01,  1.94861E+10,  1.37458E+12,  1.17000E+08,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00
